celltype,condition,gene,bb_mu
Cardiomyocyte,F1_Aged,Ppcdc,0.41025641025641
Cardiomyocyte,F1_Aged,Ppm1b,0.539304123710791
Cardiomyocyte,F1_Aged,Ppm1e,0.624087591183938
Cardiomyocyte,F1_Aged,Ppme1,0.456456456464355
Cardiomyocyte,F1_Aged,Ppp1r12b,0.460427658983993
Cardiomyocyte,F1_Aged,Ppp2ca,0.453462726069994
Cardiomyocyte,F1_Aged,Ppp3cc,0.539109506618529
Cardiomyocyte,F1_Aged,Ppp4r1,0.464444444444705
Cardiomyocyte,F1_Aged,Ppp4r1l-ps,0.327868852459026
Cardiomyocyte,F1_Aged,Ppt1,0.591549295774647
Cardiomyocyte,F1_Aged,Prdm11,0.345794392523903
Cardiomyocyte,F1_Aged,Prim2,0.253731343526009
Cardiomyocyte,F1_Aged,Prkca,0.548114630467378
Cardiomyocyte,F1_Aged,Prnp,0.608333333333206
Cardiomyocyte,F1_Aged,Prorp,0.440366972477118
Cardiomyocyte,F1_Aged,Pskh1,0.549450549446834
Cardiomyocyte,F1_Aged,Psmd6,0.257142857142871
Cardiomyocyte,F1_Aged,Ptbp2,0.458752515091013
Cardiomyocyte,F1_Aged,Ptp4a3,0.610441766984961
Cardiomyocyte,F1_Aged,Ptpn11,0.54052329291596
Cardiomyocyte,F1_Aged,Pyroxd1,0.57692307692285
Cardiomyocyte,F1_Aged,Pzp,0.45
Cardiomyocyte,F1_Aged,R3hdm1,0.451553930539341
Cardiomyocyte,F1_Aged,Rab28,0.44702842377459
Cardiomyocyte,F1_Aged,Rab2a,0.427777777779635
Cardiomyocyte,F1_Aged,Rad51b,0.419753086431642
Cardiomyocyte,F1_Aged,Rad52,0.372549019631252
Cardiomyocyte,F1_Aged,Rap1gds1,0.551339285606103
Cardiomyocyte,F1_Aged,Rapgef6,0.560669456065956
Cardiomyocyte,F1_Aged,Rbl2,0.439130434904601
Cardiomyocyte,F1_Aged,Rbm33,0.463865546218492
Cardiomyocyte,F1_Aged,Rbm39,0.473089700996777
Cardiomyocyte,F1_Aged,Rbm4,0.440894568690221
Cardiomyocyte,F1_Aged,Rbpms,0.478151452758065
Cardiomyocyte,F1_Aged,Rcn2,0.657142857141947
Cardiomyocyte,F1_Aged,Rexo4,0.357142857143206
Cardiomyocyte,F1_Aged,Rffl,0.40983606557377
Cardiomyocyte,F1_Aged,Rgs12,0.65853658474845
Cardiomyocyte,F1_Aged,Rhobtb2,0.641025641025635
Cardiomyocyte,F1_Aged,Rhoq,0.558171745141385
Cardiomyocyte,F1_Aged,Ripk2,0.377777777777779
Cardiomyocyte,F1_Aged,Rnd3,0.357142857142857
Cardiomyocyte,F1_Aged,Rnf14,0.402010050294829
Cardiomyocyte,F1_Aged,Rnf216,0.530726256979284
Cardiomyocyte,F1_Aged,Rora,0.524819174585148
Cardiomyocyte,F1_Aged,Rps13,0.574468085106383
Cardiomyocyte,F1_Aged,Rsu1,0.596491226966947
Cardiomyocyte,F1_Aged,Rtn4ip1,0.717948717510626
Cardiomyocyte,F1_Aged,Rubcn,0.458866544813728
Cardiomyocyte,F1_Aged,Sacm1l,0.467082467083508
Cardiomyocyte,F1_Aged,Sash1,0.413533835008
Cardiomyocyte,F1_Aged,Sdf2,0.59615384609651
Cardiomyocyte,F1_Aged,Sec14l1,0.585365853658537
Cardiomyocyte,F1_Aged,Secisbp2,0.550522648083611
Cardiomyocyte,F1_Aged,Selenop,0.45
Cardiomyocyte,F1_Aged,Serinc1,0.441747572824437
Cardiomyocyte,F1_Aged,Serinc5,0.44000000000541
Cardiomyocyte,F1_Aged,Sgca,0.441509433962058
Cardiomyocyte,F1_Aged,Sh3rf2,0.605415860735009
Cardiomyocyte,F1_Aged,Sik1,0.547908232116216
Cardiomyocyte,F1_Aged,Sipa1l2,0.433283358362204
Cardiomyocyte,F1_Aged,Skap2,0.690058479532164
Cardiomyocyte,F1_Aged,Slc16a1,0.448051948053769
Cardiomyocyte,F1_Aged,Slc19a2,0.624999999973884
Cardiomyocyte,F1_Aged,Slc1a5,0.261904762096665
Cardiomyocyte,F1_Aged,Slc25a21,0.17543859649123
Cardiomyocyte,F1_Aged,Slc25a23,0.4
Cardiomyocyte,F1_Aged,Slc25a3,0.540475618536565
Cardiomyocyte,F1_Aged,Slc31a1,0.61224489784588
Cardiomyocyte,F1_Aged,Slc44a1,0.579310344405549
Cardiomyocyte,F1_Aged,Slc49a4,0.412162162165861
Cardiomyocyte,F1_Aged,Slc4a3,0.440476190484383
Cardiomyocyte,F1_Aged,Slit2,0.417112299466162
Cardiomyocyte,F1_Aged,Slit3,0.45454545454295
Cardiomyocyte,F1_Aged,Smarca4,0.377880184331798
Cardiomyocyte,F1_Aged,Smarcc2,0.424603174614755
Cardiomyocyte,F1_Aged,Smg1,0.524131969456788
Cardiomyocyte,F1_Aged,Spag9,0.544648256399679
Cardiomyocyte,F1_Aged,Srl,0.482288828337938
Cardiomyocyte,F1_Aged,Srsf3,0.580882352274271
Cardiomyocyte,F1_Aged,Srsf7,0.418367346944313
Cardiomyocyte,F1_Aged,Stam,0.675324675324675
Cardiomyocyte,F1_Aged,Stimate,0.393548387807993
Cardiomyocyte,F1_Aged,Stk24,0.5896226411906
Cardiomyocyte,F1_Aged,Stk35,0.409836065467828
Cardiomyocyte,F1_Aged,Stn1,0.58293838855233
Cardiomyocyte,F1_Aged,Stox2,0.479679450486548
Cardiomyocyte,F1_Aged,Stradb,0.452173913043478
Cardiomyocyte,F1_Aged,Tab1,0.406091370558375
Cardiomyocyte,F1_Aged,Taf1d,0.560240963852155
Cardiomyocyte,F1_Aged,Tango2,0.550233149633916
Cardiomyocyte,F1_Aged,Tbc1d19,0.639097744360877
Cardiomyocyte,F1_Aged,Tbc1d31,0.699999999999756
Cardiomyocyte,F1_Aged,Tbc1d5,0.532774986041168
Cardiomyocyte,F1_Aged,Tcap,0.451162790700594
Cardiomyocyte,F1_Aged,Tcf4,0.583118556649239
Cardiomyocyte,F1_Aged,Tec,0.594326241095236
Cardiomyocyte,F1_Aged,Terf2ip,0.333333333333423
Cardiomyocyte,F1_Aged,Tex2,0.624113475177303
Cardiomyocyte,F1_Aged,Tfrc,0.407207207384304
Cardiomyocyte,F1_Aged,Tgfb2,0.553903345724834
Cardiomyocyte,F1_Aged,Tm2d1,0.568527918781726
Cardiomyocyte,F1_Aged,Tm9sf2,0.39236641224462
Cardiomyocyte,F1_Aged,Tmem150c,0.702970297029771
Cardiomyocyte,F1_Aged,Tmem38b,0.669014084507035
Cardiomyocyte,F1_Aged,Tnik,0.467172264356421
Cardiomyocyte,F1_Aged,Tnks,0.452639190166912
Cardiomyocyte,F1_Aged,Tns1,0.564327485307116
Cardiomyocyte,F1_Aged,Traf3ip2,0.311111111111501
Cardiomyocyte,F1_Aged,Trap1,0.404761904761905
Cardiomyocyte,F1_Aged,Trappc6b,0.567567567567519
Cardiomyocyte,F1_Aged,Trib1,0.553719008168157
Cardiomyocyte,F1_Aged,Trim23,0.460000000002156
Cardiomyocyte,F1_Aged,Trim25,0.599999999999906
Cardiomyocyte,F1_Aged,Trim8,0.452380952377691
Cardiomyocyte,F1_Aged,Tspan18,0.342857142857143
Cardiomyocyte,F1_Aged,Ttc19,0.541176470587914
Cardiomyocyte,F1_Aged,Ttc27,0.436213991769547
Cardiomyocyte,F1_Aged,Ttc3,0.543550165379559
Cardiomyocyte,F1_Aged,Ttll11,0.544117646946185
Cardiomyocyte,F1_Aged,Ttll7,0.664179104476037
Cardiomyocyte,F1_Aged,Tubgcp5,0.46153846157708
Cardiomyocyte,F1_Aged,Tulp3,0.548076923076923
Cardiomyocyte,F1_Aged,Tulp4,0.450268817205319
Cardiomyocyte,F1_Aged,Twf1,0.379310344835159
Cardiomyocyte,F1_Aged,Txndc12,0.357142857188231
Cardiomyocyte,F1_Aged,Txndc16,0.661016949152231
Cardiomyocyte,F1_Aged,Ube4b,0.460184409060926
