"","AR","N","log2FC","llr_mean","pval_mean"
"Tut4",0.727083333333333,16,1.33880191345176,-2.12565325027799,0.0392201466469832
"Tut7",0.433333333333333,10,-0.20163386116965,0.331951621195657,1
"Txlnb",0.391432178932179,16,-0.570315724756755,-0.793035745743328,0.207888307212844
"Txndc11",0.435897435897436,13,-0.308122295362332,-0.134390386548496,0.604150814931089
"U2surp",0.410714285714286,14,-0.452512204697506,-0.515379562958458,0.309980437508249
"Uap1",0.606926406926407,19,0.540568381362703,-0.73686667403026,0.224757578020079
"Ubap2l",0.503030303030303,11,0.273018494406416,0.326770917609586,1
"Ube2b",0.60453869047619,16,0.478047296804645,-0.037445720943424,0.784343608256188
"Ube2d3",0.41321044546851,31,-0.0740005814437769,0.105450860068686,1
"Ube2e2",0.446376811594203,23,-0.0931094043914814,2.17102019127922,1
"Ube2h",0.529407979407979,37,0.249027547839915,0.750345348650029,1
"Ube2k",0.442708333333333,16,0.0443941193584536,1.59824599857726,1
"Ube3a",0.416666666666667,10,-0.289506617194984,-0.178264195602225,0.550440628418881
"Ube4b",0.793181818181818,22,1.83007499855769,-9.10985585393137,1.96831150016748e-05
"Ubn2",0.622902494331066,21,0.257157839497125,0.357014434316,1
"Ubr1",0.583333333333333,15,0.31194400631474,-0.271098648345841,0.461523519408171
"Ubr2",0.559895833333333,16,0.540568381362703,-0.851158151110987,0.191985333700302
"Ubr3",0.449847027972028,24,-0.399607458709238,-0.54097185743553,0.298263140341773
