"","converged","iter","deviance","df_resid","phi_hat","mu_weighted","pmin","pmax","m_eff","theta_map","terms","rank","p_model","error","coef_X.Intercept.","se_X.Intercept.","stat_X.Intercept.","p_X.Intercept.","coef_sexM","se_sexM","stat_sexM","p_sexM"
"Psme4",TRUE,3,354.669178343831,222,1.5976089114587,0.528210486829995,0.524475524472783,0.53103448275862,1.28563415582226,998.999999999999,"sex",2,0.917557746458588,FALSE,0.124297716677576,0.179018459109794,0.694329050175449,0.488201837619619,-0.0263173083283658,0.253960554953886,-0.103627542998339,0.917558483004294
"Pspc1",TRUE,3,171.05590461018,115,1.48744264878417,0.497120363910979,0.453125000188561,0.544303797468355,1.22214768914572,998.999999999999,"sex",2,0.298574721902976,FALSE,-0.188052230742009,0.260930923648495,-0.720697371214374,0.472558196734912,0.365733407979462,0.350985607749108,1.04201824777071,0.29958886942795
"Ptbp2",TRUE,3,203.241483201728,140,1.45172488001234,0.500448564593206,0.465909090909274,0.539473684210116,1.15493384229732,998.999999999999,"sex",2,0.360932544227651,FALSE,-0.136575535005014,0.219153603405157,-0.623195479713477,0.534169991468735,0.294799540218257,0.322069319253392,0.915329472865187,0.361592577251753
"Ptbp3",TRUE,3,235.277462306638,157,1.49858256246266,0.529958032372249,0.52173913043382,0.542857142358951,1.16368716677462,998.999999999999,"sex",2,0.789017343115437,FALSE,0.171850254919142,0.249887490678299,0.68771051505087,0.492649836187131,-0.0848388779333708,0.316616310311709,-0.267954856304929,0.789085787659385
"Pten",TRUE,3,918.656774435019,674,1.36299224693623,0.512418069905935,0.502590673575129,0.522842639593696,2.30752311189242,0.384309566160197,"sex",2,0.42985164905712,FALSE,0.0103627870355461,0.0729132172921906,0.14212494552282,0.887023786971813,0.0810714189232322,0.102642488308117,0.789842688535261,0.429897427811751
"Ptp4a2",TRUE,3,155.35634426851,107,1.45192845110757,0.479019922203847,0.459770114943027,0.512195121951219,1.17431341748409,998.999999999999,"sex",2,0.590812829784197,FALSE,0.0487901641694295,0.320942174251823,0.15202166646739,0.879456122430985,-0.210058311763545,0.389657725325103,-0.539084170827838,0.590948696045355
"Ptpn12",TRUE,3,385.670662182305,241,1.60029320407595,0.547594551541746,0.512280701754386,0.627659573042399,1.5620547758883,998.999999999999,"sex",2,0.0731630754612937,FALSE,0.522189376315889,0.231990810392305,2.25090543643883,0.0252935029716247,-0.473056687738245,0.265376328306548,-1.78258811084233,0.0759121451949499
"Ptpn13",TRUE,3,241.79088794729,165,1.46539932089267,0.494398841139547,0.48421052631579,0.504587155963303,1.22153349828222,998.999999999999,"sex",2,0.778117834233525,FALSE,-0.0631789016215305,0.211221441898762,-0.299112159511779,0.765230879597547,0.081528040289726,0.288899958227554,0.282201634053232,0.778142567571489
"Ptpn2",TRUE,4,79.7473982663799,56,1.42406068332821,0.25760555254307,0.230769230769591,0.263157894978962,1.21237781148654,998.999999999999,"sex",2,0.828507865145135,FALSE,-1.2039728043239,0.735989934691091,-1.63585498601857,0.10747884284762,0.174353388391394,0.809182136883131,0.215468657109735,0.830184796852087
"Ptpn9",TRUE,3,654.305523129851,375,1.74481472834627,0.521171214753909,0.497005988023973,0.532490974729236,1.91234466137794,4.44586059856802,"sex",2,0.478150297233484,FALSE,-0.0119761910466315,0.175378195239292,-0.0682877995767419,0.945592932022011,0.142123485686888,0.200170334772724,0.710012729150185,0.478137515056553
"Ptpra",TRUE,3,292.987350488202,206,1.4222686916903,0.567114069558209,0.560344827437655,0.57377049097675,1.14435693574957,998.999999999999,"sex",2,0.837867048902419,FALSE,0.297251520088249,0.186707232151865,1.59207287614049,0.112901638426191,-0.0546898835199267,0.26693634640901,-0.204879868386783,0.837868277615753
"Ptprg",TRUE,3,969.509594096856,594,1.63217103383309,0.527662306711999,0.503961965134706,0.542056074765884,2.13482619672072,1.25766346495164,"sex",2,0.21622341310502,FALSE,0.168622712433895,0.0870707344291241,1.93661755054053,0.053266036260206,-0.152774520193873,0.123453235976107,-1.23750923972087,0.216387037970138
"Ptprk",TRUE,3,1048.29865421179,674,1.55533924957239,0.507462360446664,0.471478463329454,0.534713763702792,2.48511646244712,0.597282060565208,"sex",2,0.0166504670243654,FALSE,0.139078804468557,0.0755599703902805,1.84064133098769,0.0661135417611254,-0.25328893540336,0.105628965800692,-2.39791172320369,0.0167598446406539
"Ptprm",TRUE,3,329.331080282742,214,1.53893028169505,0.533859797989128,0.529411764704714,0.538961038958667,1.42154474994929,998.999999999999,"sex",2,0.874206177247925,FALSE,0.156160730745734,0.171040818911431,0.913002707421546,0.362268549326835,-0.0383776950940426,0.242123886628642,-0.15850437405585,0.874208849234507
"Pum1",TRUE,3,184.094688874855,124,1.48463458770044,0.523264708367518,0.487804878048796,0.580645161065086,1.1439939742368,998.999999999999,"sex",2,0.289158941667606,FALSE,0.325422399509617,0.267487264230022,1.21659025690948,0.226070773472963,-0.374212563678988,0.352523356903076,-1.06152558788289,0.290514227711091
"Pvt1",TRUE,3,74.6487073588653,49,1.52344300732378,0.449741679685235,0.413793103452985,0.487804878048794,1.369982537391,998.999999999999,"sex",2,0.563821460761662,FALSE,-0.0487901641693782,0.32962230815432,-0.148018392452176,0.882935688930878,-0.299516530079424,0.516596858448683,-0.579787749733629,0.564714262368944
"Qki",TRUE,3,469.078087559821,321,1.46130245345739,0.480501770392683,0.43085106383277,0.518115942028983,1.43691441075273,998.999999999999,"sex",2,0.0745529841344068,FALSE,-0.278379679777303,0.152196272627813,-1.82908342609719,0.0683147051842594,0.350875181815446,0.196622670997038,1.78451030105644,0.0752851162065527
"Qrich1",TRUE,3,187.702152276716,128,1.46642306466185,0.418289303956503,0.382352943497071,0.441860465118065,1.18796890233624,998.999999999999,"sex",2,0.475875814783675,FALSE,-0.479573070435461,0.259966242142714,-1.84475132802893,0.0673853385955737,0.245958219261199,0.344610719641619,0.713727708519879,0.476694952114498
"R3hcc1l",TRUE,3,102.482131389835,72,1.42336293596993,0.507649158553612,0.452830188679478,0.567567567485805,1.21600485996591,998.999999999999,"sex",2,0.296320012877758,FALSE,0.271933715150509,0.33829260699633,0.803841732058481,0.424134422288376,-0.461175714788098,0.439978814811832,-1.04817709231143,0.298062885921561
"R3hdm1",TRUE,3,109.114657375263,77,1.41707347240601,0.494760569587948,0.44680851067783,0.534883720920903,1.13961664568138,998.999999999999,"sex",2,0.412738265192237,FALSE,0.139761942337657,0.310152724902908,0.450622970929593,0.653527646679538,-0.353336042475777,0.429856327513171,-0.821986370469213,0.413622715146654
