gene,pvalue_hom,cell_type,condition
Prex2,0.0432067723105066,Cardiac_Neuronal,F1_Aged
Prickle2,0.471354400834526,Cardiac_Neuronal,F1_Aged
Prkca,0.275233524074831,Cardiac_Neuronal,F1_Aged
Prkce,0.701444841337008,Cardiac_Neuronal,F1_Aged
Prkg1,0.060684444925127,Cardiac_Neuronal,F1_Aged
Ptprm,0.464286961210333,Cardiac_Neuronal,F1_Aged
Qki,0.161516148655635,Cardiac_Neuronal,F1_Aged
Ralgapa1,0.617075077451974,Cardiac_Neuronal,F1_Aged
Rbm39,0.563705918791679,Cardiac_Neuronal,F1_Aged
Rbms1,0.0209180227356097,Cardiac_Neuronal,F1_Aged
Rbpms,0.586754130965344,Cardiac_Neuronal,F1_Aged
Rock2,0.310804080791444,Cardiac_Neuronal,F1_Aged
Rora,0.157569825928776,Cardiac_Neuronal,F1_Aged
Sash1,0.0158503970618744,Cardiac_Neuronal,F1_Aged
Scn7a,0.639437066454614,Cardiac_Neuronal,F1_Aged
Sgcz,0.0363718487576671,Cardiac_Neuronal,F1_Aged
Slc35f1,0.0680752578636895,Cardiac_Neuronal,F1_Aged
Sorbs1,0.763024600552995,Cardiac_Neuronal,F1_Aged
Sorbs2,0.24821307898992,Cardiac_Neuronal,F1_Aged
Sptbn1,0.515082278709643,Cardiac_Neuronal,F1_Aged
Ssh2,0.126678124329292,Cardiac_Neuronal,F1_Aged
Stard13,0.107031496065138,Cardiac_Neuronal,F1_Aged
Tanc1,0.592980104903856,Cardiac_Neuronal,F1_Aged
Tcf4,0.221778127797369,Cardiac_Neuronal,F1_Aged
Thsd7a,0.499665456967904,Cardiac_Neuronal,F1_Aged
Tnrc6b,0.522878136074573,Cardiac_Neuronal,F1_Aged
Utrn,0.0718606361554069,Cardiac_Neuronal,F1_Aged
Vcl,0.781001434967486,Cardiac_Neuronal,F1_Aged
Vim,0.405380558014064,Cardiac_Neuronal,F1_Aged
Vps13b,0.137733316327571,Cardiac_Neuronal,F1_Aged
Zbtb16,0.200825122695142,Cardiac_Neuronal,F1_Aged
Zcchc7,0.911941886730401,Cardiac_Neuronal,F1_Aged
Zeb1,0.158972630747246,Cardiac_Neuronal,F1_Aged
Zeb2,0.790305764365919,Cardiac_Neuronal,F1_Aged
Zfp521,0.535272051067521,Cardiac_Neuronal,F1_Aged
Zswim6,0.476509482364807,Cardiac_Neuronal,F1_Aged
Abca8a,0.00703586335194221,Cardiac_Neuronal,F1_Young
Abca8b,0.430450115450773,Cardiac_Neuronal,F1_Young
Adam23,0.39117252281014,Cardiac_Neuronal,F1_Young
Agap1,0.90730026780011,Cardiac_Neuronal,F1_Young
Alcam,0.778742426597869,Cardiac_Neuronal,F1_Young
Ank3,0.953043504566612,Cardiac_Neuronal,F1_Young
Antxr2,0.256839257957853,Cardiac_Neuronal,F1_Young
App,0.100576212473197,Cardiac_Neuronal,F1_Young
Arhgap42,0.0143058784354296,Cardiac_Neuronal,F1_Young
Arid1b,1,Cardiac_Neuronal,F1_Young
Arl15,0.0832645166635503,Cardiac_Neuronal,F1_Young
Cadm2,0.0926208453378119,Cardiac_Neuronal,F1_Young
Cdh19,0.818793035530412,Cardiac_Neuronal,F1_Young
Cdh2,0.0832665167547255,Cardiac_Neuronal,F1_Young
Celf2,0.34718871664588,Cardiac_Neuronal,F1_Young
Clic4,0.0955645018724988,Cardiac_Neuronal,F1_Young
Creb5,0.0338948535246893,Cardiac_Neuronal,F1_Young
Deptor,0.646014063045074,Cardiac_Neuronal,F1_Young
Dip2c,0.683875087528774,Cardiac_Neuronal,F1_Young
Dlgap1,1,Cardiac_Neuronal,F1_Young
Dst,0.615148394899581,Cardiac_Neuronal,F1_Young
Ext1,0.414216178242525,Cardiac_Neuronal,F1_Young
Fmnl2,0.563757152007771,Cardiac_Neuronal,F1_Young
Frmd4a,0.0374531940909314,Cardiac_Neuronal,F1_Young
Galnt17,0.0527230265471389,Cardiac_Neuronal,F1_Young
Gnaq,0.661764264071372,Cardiac_Neuronal,F1_Young
Gphn,0.763024592769762,Cardiac_Neuronal,F1_Young
Gulp1,0.472857510179081,Cardiac_Neuronal,F1_Young
Igf1r,0.34577858615116,Cardiac_Neuronal,F1_Young
Iqgap2,0.22525290636065,Cardiac_Neuronal,F1_Young
Kcna1,0.763024600552995,Cardiac_Neuronal,F1_Young
Lama2,0.456705832718482,Cardiac_Neuronal,F1_Young
Lncpint,0.405380558014064,Cardiac_Neuronal,F1_Young
Malat1,0.647786288511185,Cardiac_Neuronal,F1_Young
Mbnl2,0.307060137305856,Cardiac_Neuronal,F1_Young
Ncam1,0.261738209503876,Cardiac_Neuronal,F1_Young
Nfia,0.317310507862911,Cardiac_Neuronal,F1_Young
Pcdh9,0.0505523165969297,Cardiac_Neuronal,F1_Young
Pde10a,0.146225064004179,Cardiac_Neuronal,F1_Young
Pde7b,0.930014867318283,Cardiac_Neuronal,F1_Young
Pdzd2,0.533736527027369,Cardiac_Neuronal,F1_Young
