gene,Category,glm_ar,aspen_ar
Hbegf,Overlap,0.6983338006141632,0.734
Hdac9,Overlap,0.584897147528918,0.5874
Hdnr,Overlap,0.18272520644105292,0.1575
Heatr5a,Overlap,0.37407394653309844,0.3746
Heatr5b,Overlap,0.680575992346628,0.6613
Hebp1,Overlap,0.11611329332502576,0.1608
Hectd2os,Overlap,0.6446943747157833,0.6358
Heg1,Overlap,0.603052889759525,0.5979
Herpud1,Overlap,0.6506953030989038,0.6431
Hexb,Overlap,0.24185242673673907,0.2348
Hfe,Overlap,0.2523968997324439,0.2363
Hhat,Overlap,0.8256433116666608,0.8647
Hibadh,Overlap,0.43909170092808053,0.4392
Hibch,Overlap,0.6362136682515561,0.6372
Hipk3,GLM_only,0.5631295653813602,0.5462
Hivep2,Overlap,0.5404888951259683,0.5309
Hmcn1,Overlap,0.4630862768406363,0.4643
Hnrnpc,GLM_only,0.5585945105287213,0.5528
Hnrnph1,Overlap,0.6147948953422795,0.5927
Homer1,Overlap,0.4597319185777781,0.4512
Hopx,Overlap,0.3828071783205745,0.3909
Hs3st5,Overlap,0.5286303205451094,0.5174
Hspg2,Overlap,0.3827838226115989,0.412
Ibtk,Overlap,0.37787736732881344,0.3801
Ica1,Overlap,0.7150167907177523,0.7079
Ice1,Overlap,0.7400000014429956,0.7394
Idh3b,Overlap,0.37176595203947616,0.3573
Igf1r,Overlap,0.6025672623409498,0.6458
Igf2r,Overlap,0.6082279860028595,0.5649
Il15,GLM_only,0.5721785532462391,0.5307
Il15ra,Overlap,0.39975827348081266,0.4284
Ino80c,Overlap,0.0308974120071506,0.0256
Insr,Overlap,0.5406882364079072,0.5365
Ints7,Overlap,0.6742336533438301,0.6651
Intu,Overlap,0.7089657131759836,0.7258
Invs,Overlap,0.28312650926345717,0.2918
Ip6k3,Overlap,0.8141037808204187,0.8426
Ipo5,Overlap,0.62901872002014525,0.6221
Iqub,Overlap,0.14325426938432734,0.1392
Irf2,Overlap,0.39226274065040384,0.3958
Itga1,Overlap,0.25028510764878387,0.2022
Itgb3bp,Overlap,0.6530141326676431,0.6251
Itgb5,Overlap,0.647045849012513,0.6366
Itpr1,GLM_only,0.5627135596498959,0.5841
Itpr2,Overlap,0.20349312078530438,0.2032
Jph1,Overlap,0.382837734873845,0.3736
Jph2,Overlap,0.457649432330506,0.459
