"gene","statistic","df","p_intercept","p_sex","pvalue","phi_raw","phi_used","padj"
"Myo1c",NA,273,0.773791435225089,0.972448403241933,0.773791435225089,0.962016197844526,1.34200231465005,0.802581904950723
"Myo1d",NA,165,0.505361492406603,0.923388634613224,0.505361492406603,1.07948975572742,1.241592921136,0.594790906807631
"Myo1e",NA,555,0.0503019915410278,0.849058715461197,0.0503019915410278,1.20751845613238,1.34266841568339,0.132574345052738
"Myo5a",NA,757,2.14235801584455e-16,0.413345625226164,2.14235801584455e-16,1.12320584394692,1.36001373660035,7.36784865449149e-15
"Myo5b",NA,382,4.56223240576907e-05,0.694614498084368,4.56223240576907e-05,1.12448612655956,1.32164446113845,0.000377877050572077
"Myo5c",NA,1105,4.18007718792356e-21,0.107565562381272,4.18007718792356e-21,1.07120095341888,1.40242881789778,2.20429403709836e-19
"Myo6",NA,1530,5.17787821936454e-05,0.356352417240105,5.17787821936454e-05,1.0689847872193,1.45014201384636,0.00042061121145236
"Myo9a",NA,619,0.254629143337006,0.661700635343907,0.254629143337006,1.05538383371308,1.34434719949099,0.392328516931233
"Myo9b",NA,683,0.0460830879306834,0.463123938625517,0.0460830879306834,1.0468991454237,1.34678765451844,0.124143859650288
"Myocd",NA,3758,0.00130366174155099,0.0121532300073595,0.00130366174155099,2.07489327964495,1.87205034268975,0.00701460401629015
"Myom1",NA,3916,0.0760046674822937,0.650195104943979,0.0760046674822937,1.28947676157929,1.84677878013946,0.178264468431414
"Myom2",NA,2039,0.0779638472067803,0.423392492528563,0.0779638472067803,1.23578290982953,1.53993974211455,0.180915007379723
"Myot",NA,1050,4.3581974924641e-21,0.665462531697715,4.3581974924641e-21,1.35746684932908,1.43271350247149,2.26054702723875e-19
"Myoz2",NA,2949,8.23618438482848e-07,0.651061896246981,8.23618438482848e-07,1.25718564333444,1.63326008217266,9.59826423336917e-06
"Mypn",NA,2952,0.767946409875931,0.56532661863037,0.56532661863037,1.26147251524799,1.65956065408968,0.641568659019544
"Myrfl",NA,170,1.56296582737071e-05,0.199252323351646,1.56296582737071e-05,1.11507103879573,1.2572959055786,0.000143200221816702
"Mysm1",NA,383,0.399246328095282,0.00720167629579741,0.00720167629579741,1.06068350718723,1.323350863975,0.0297864461693158
"Myzap",NA,3500,2.07981350041528e-50,1.48056621053023e-06,2.07981350041528e-50,1.14908467777361,1.72116870620632,3.76030280875082e-48
"Mzt1",NA,240,0.473438222795461,0.154573197568074,0.154573197568074,1.04085241853635,1.34016222945645,0.290249019053642
"N4bp2",NA,271,0.018084615066554,0.315121605882305,0.018084615066554,1.07525445643489,1.34246702478045,0.062466945491896
"N4bp2l1",NA,106,0.901873670089145,0.328134331671006,0.328134331671006,1.05580810423497,1.03909142531999,0.454163178218312
"N4bp2l2",NA,1860,0.88517782108635,0.853553625319543,0.853553625319543,1.10790794106701,1.48520765148443,0.867816089495834
"N6amt1",NA,313,0.0458116825916169,0.0158411979451486,0.0158411979451486,1.05465388028338,1.33567146800306,0.0562215931558609
"Naa15",NA,1148,0.303345580449377,0.0276329005714571,0.0276329005714571,1.07887563815069,1.40429550968814,0.0858424127718118
"Naa16",NA,1293,0.0583753784088555,0.191575395004803,0.0583753784088555,1.09434669022198,1.4262222255219,0.14859187231345
"Naa20",NA,755,0.965430947794566,0.261459450497157,0.261459450497157,0.990977233752144,1.35379111310268,0.399198055872863
"Naa25",NA,348,0.808452461184258,0.907503152643951,0.808452461184258,1.04116566573453,1.32934585652007,0.82996222815931
"Naa30",NA,296,0.22957849326392,0.656205133022499,0.22957849326392,0.997017498247603,1.34212317812209,0.369773389677303
"Naa35",NA,620,0.0484874144935966,0.110297671259907,0.0484874144935966,1.05286667000368,1.34080913422772,0.128865333437833
"Naa40",NA,683,0.0631632652721955,0.301750235905965,0.0631632652721955,1.06022125851593,1.34667997423021,0.157029839820314
"Naa50",NA,456,0.00463953556733344,0.938046291472948,0.00463953556733344,1.04371372010618,1.31964188934124,0.0208663689197484
"Naa60",NA,357,0.684572212923602,0.78407931679241,0.684572212923602,1.04851465782038,1.32741864930865,0.734730828253146
